DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST query coverage
COLOR	#000000
COLOR_MIN	#edf8fb
COLOR_MAX	#006d2c
DATA
CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	92.5056
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	91.8345
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	92.1700
DELA-4-1-No|nifH|consensus50|strict_single_dominant	93.6723
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	78.1879
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-201-1-No|nifH|consensus50|strict_single_dominant	80.0895
JERC-43-1-No|nifH|consensus50|strict_single_dominant	92.6174
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	92.2819
JERC-45-5-No|nifH|consensus50|strict_single_dominant	68.6801
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	91.8345
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	99.7241
TALL-12-2-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-25-2-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-75-2-No|nifH|consensus50|strict_single_dominant	91.4989
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-66-2-No|nifH|consensus50|strict_single_dominant	92.5056
TALL-78-2-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-44-1-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-99-3-No|nifH|consensus50|strict_single_dominant	91.8345
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	93.7853
JERC-48-3-No|nifH|consensus50|strict_single_dominant	93.8983
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	72.0904
JERC-170-No|nifH|consensus50|strict_single_dominant	70.4698
TALL-50-1-No|nifH|consensus50|strict_single_dominant	94.6712
JERC-135-3-No|nifH|consensus50|strict_single_dominant	78.5235
JERC-148-Ro|nifH|consensus50|strict_single_dominant	89.7092
OSBS-LEHI-62-5-Ro|nifH|consensus50|strict_single_dominant	86.2416
SERC-3-1-Ro|nifH|consensus50|strict_single_dominant	89.3736
TALL-73-2-Ro|nifH|consensus50|strict_single_dominant	92.2819
TALL-18-1-No|nifH|consensus50|strict_single_dominant	80.3132
TALL-20-1-No|nifH|consensus50|strict_single_dominant	92.6174
JERC-50-5-No|nifH|consensus50|strict_single_dominant	93.5593
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	91.8345
JERC-39-5-No|nifH|consensus50|strict_single_dominant	72.9944
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-180-5-No|nifH|consensus50|strict_single_dominant	70.6935
JERC-126-4-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-76-3-No|nifH|consensus50|strict_single_dominant	89.8210
JERC-127-2-No|nifH|consensus50|strict_single_dominant	92.1700
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	92.1700
JERC-96-2-No|nifH|consensus50|strict_single_dominant	92.2819
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	94.5763
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	72.4294
DELA-21-1-No|nifH|consensus50|strict_single_dominant	72.8814
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	94.3503
LENO-8-3-No|nifH|consensus50|strict_single_dominant	72.5424
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	91.6107
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	92.5056
HARV-1-1-No|nifH|consensus50|strict_single_dominant	91.3870
JERC-198-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-37-2-No|nifH|consensus50|strict_single_dominant	89.3378
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	92.1700
JERC-157-2-No|nifH|consensus50|strict_single_dominant	94.2373
LENO-6-1-No|nifH|consensus50|strict_single_dominant	92.1700
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	91.3870
DSNY-101-1-No|nifH|consensus50|strict_single_dominant	93.8983
DSNY-10-3-No|nifH|consensus50|strict_single_dominant	91.3870
LAJA-15-1-No|nifH|consensus50|strict_single_dominant	94.5763
DELA-28-No|nifH|consensus50|strict_single_dominant	92.8412
JERC-203-1-No|nifH|consensus50|strict_single_dominant	92.2819
KONA-1-1-No|nifH|consensus50|strict_single_dominant	91.8345
DSNY-31-1-No|nifH|consensus50|strict_single_dominant	92.7293
JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	91.3870
DELA-7-3-No|nifH|consensus50|strict_single_dominant	91.9463
JERC-98-3-No|nifH|consensus50|strict_single_dominant	91.3870
ORNL-13-2-No|nifH|consensus50|strict_single_dominant	91.7226
HARV-4-1-No|nifH|consensus50|strict_single_dominant	88.9262
LENO-4-3-No|nifH|consensus50|strict_single_dominant	93.8983
ORNL-16-No|nifH|consensus50|strict_single_dominant	67.8971
LENO-10-2-No|nifH|consensus50|strict_single_dominant	89.0380
LENO-1-1-No|nifH|consensus50|strict_single_dominant	70.9172
LENO-13-2-No|nifH|consensus50|strict_single_dominant	92.1700
KONZ-2-1-No|nifH|consensus50|strict_single_dominant	91.4989
SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant	92.7293
N39-2-D-No|nifH|consensus50|strict_single_dominant	94.1243
GUAN-4-No|nifH|consensus50|strict_single_dominant	92.1700
GUAN-8-No|nifH|consensus50|strict_single_dominant	92.5056
KONZ-9-2-No|nifH|consensus50|strict_single_dominant	92.1700
DELA-6-3-No|nifH|consensus50|strict_single_dominant	75.1888
LAJA-3-1-No|nifH|consensus50|strict_single_dominant	93.4004
DSNY-44-1-No|nifH|consensus50|strict_single_dominant	97.0522
DSNY-57-No|nifH|consensus50|strict_single_dominant	73.8983
DSNY-90-No|nifH|consensus50|strict_single_dominant	70.1342
LENO-2-1-Ro|nifH|consensus50|strict_single_dominant	91.5254
JERC-170-Rh|nifH|consensus50|strict_single_dominant	70.9172
GUAN-7-1-Ro|nifH|consensus50|strict_single_dominant	69.7987
N38-2-D-Rh|nifH|consensus50|strict_single_dominant	91.7226
N38-2-D-No|nifH|consensus50|strict_single_dominant	94.0113
N38-2-D-Ro|nifH|consensus50|strict_single_dominant	94.1243
DSNY-90-Rh|nifH|consensus50|strict_single_dominant	69.7987
LAJA-4-1-Rh|nifH|consensus50|strict_single_dominant	92.3937
GUAN-3-No|nifH|consensus50|strict_single_dominant	93.6723
JERC-203-1-Rh|nifH|consensus50|strict_single_dominant	94.6712
WOOD-1-1-Rh|nifH|consensus50|strict_single_dominant	93.8983
JERC-155-No|nifH|consensus50|strict_single_dominant	91.9463
JERC-99-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
OSBS-58-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
CLBJ-36-1-No|nifH|consensus50|strict_single_dominant	69.5749
JERC-161-Rh|nifH|consensus50|strict_single_dominant	91.9463
OSBS-21-2-No|nifH|consensus50|strict_single_dominant	91.9463
LENO-1-1-Rh|nifH|consensus50|strict_single_dominant	74.1243
DSNY-28-1-Ro|nifH|consensus50|strict_single_dominant	91.9463
OSBS-71-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
DSNY-57-1-Rh|nifH|consensus50|strict_single_dominant	92.3937
DSNY-30-1-No|nifH|consensus50|strict_single_dominant	91.6107
OSBS-82-1-Ro|nifH|consensus50|strict_single_dominant	93.6723
DSNY-83-2-Rh|nifH|consensus50|strict_single_dominant	92.0582
KONZ-11-1-Rh|nifH|consensus50|strict_single_dominant	93.7853
JERC-CLMA-73-2-Ro|nifH|consensus50|strict_single_dominant	93.6723
JERC-CLMA-73-2-Rh|nifH|consensus50|strict_single_dominant	71.9774
JERC-172-2-Rh|nifH|consensus50|strict_single_dominant	93.8983
JERC-177-Ro|nifH|consensus50|strict_single_dominant	94.0113
OAES-35-1-Rh|nifH|consensus50|strict_single_dominant	93.8983
JERC-197-1-No|nifH|consensus50|strict_single_dominant	91.9463
TOOL-5-No|nifH|consensus50|strict_single_dominant	91.3870
TOOL-8-Rh|nifH|consensus50|strict_single_dominant	91.9463
DEJU-54-No|nifH|consensus50|strict_single_dominant	92.1700
DSNY-88-1-Rh|nifH|consensus50|strict_single_dominant	89.3736
GRSM-4-2-Ro|nifH|consensus50|strict_single_dominant	78.1879
DEJU-58-Rh|nifH|consensus50|strict_single_dominant	74.2373
DSNY-92-1-Ro|nifH|consensus50|strict_single_dominant	74.2373
WOOD-3-2-Rh|nifH|consensus50|strict_single_dominant	91.7226
JERC-132-3-Rh|nifH|consensus50|strict_single_dominant	93.5593
JERC-135-3-Rh|nifH|consensus50|strict_single_dominant	91.6107
OSBS-100-3-Rh|nifH|consensus50|strict_single_dominant	92.0582
TALL-22-Ro|nifH|consensus50|strict_single_dominant	78.1879
JERC-91-1-Rh|nifH|consensus50|strict_single_dominant	80.7606
DEJU-60-Rh|nifH|consensus50|strict_single_dominant	78.2998
WOOD-10-1-Ro|nifH|consensus50|strict_single_dominant	78.4116
WOOD-6-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
HEAL-2-1-Rh|nifH|consensus50|strict_single_dominant	74.1243
RMNP-4-Rh|nifH|consensus50|strict_single_dominant	91.9463
JERC-204-1-No|nifH|consensus50|strict_single_dominant	93.7853
TALL-49-1-Rh|nifH|consensus50|strict_single_dominant	77.2931
DSNY-GARE-35-1-Rh|nifH|consensus50|strict_single_dominant	93.7853
KONZ-6-1-Rh|nifH|consensus50|strict_single_dominant	91.9463
CLBJ-28-3-Rh|nifH|consensus50|strict_single_dominant	91.9463
DSNY-83-1-Rh|nifH|consensus50|strict_single_dominant	93.7853
GUAN-5-Rh|nifH|consensus50|strict_single_dominant	93.7853
OSBS-37-1-Rh|nifH|consensus50|strict_single_dominant	92.5056
JERC-155-Rh|nifH|consensus50|strict_single_dominant	94.0113
OSBS-66-1-Rh|nifH|consensus50|strict_single_dominant	93.7853
GUAN-2-Rh|nifH|consensus50|strict_single_dominant	91.6107
DELA-2-2-No|nifH|consensus50|strict_single_dominant	69.6868
OSBS-81-1-Rh|nifH|consensus50|strict_single_dominant	93.7853
DELA-8-2-Rh|nifH|consensus50|strict_single_dominant	78.0761
JERC-127-2-Ro|nifH|consensus50|strict_single_dominant	92.1700
TALL-26-3-Rh|nifH|consensus50|strict_single_dominant	92.0582
JERC-169-Rh|nifH|consensus50|strict_single_dominant	91.6107
DSNY-61-4-Rh|nifH|consensus50|strict_single_dominant	91.6107
TALL-13-3-Ro|nifH|consensus50|strict_single_dominant	91.9463
OSBS-28-1-No|nifH|consensus50|strict_single_dominant	91.9463
CLBJ-7-1-No|nifH|consensus50|strict_single_dominant	91.6107
OSBS-20-1-Ro|nifH|consensus50|strict_single_dominant	91.6107
JERC-88-1-Rh|nifH|consensus50|strict_single_dominant	92.6174
OAES-37-2-Rh|nifH|consensus50|strict_single_dominant	92.0582
TOOL-5-Rh|nifH|consensus50|strict_single_dominant	91.0515
ORNL-12-1-Ro|nifH|consensus50|strict_single_dominant	91.6107
DEJU-8-1-Rh|nifH|consensus50|strict_single_dominant	91.0515
JERC-160-Ro|nifH|consensus50|strict_single_dominant	99.0345
OSBS-68-1-Rh|nifH|consensus50|strict_single_dominant	93.8983
OSBS-69-1-Rh|nifH|consensus50|strict_single_dominant	92.3937
JERC-145-1-Rh|nifH|consensus50|strict_single_dominant	91.9463
TALL-39-2-Rh|nifH|consensus50|strict_single_dominant	91.9463
JERC-160-Rh|nifH|consensus50|strict_single_dominant	91.7226
TALL-9-2-Ro|nifH|consensus50|strict_single_dominant	92.5056
JERC-98-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
OSBS-7-4-Ro|nifH|consensus50|strict_single_dominant	91.6107
UKFS-52-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
DSNY-10-3-Rh|nifH|consensus50|strict_single_dominant	89.1499
WOOD-2-2-Rh|nifH|consensus50|strict_single_dominant	91.9463
DSNY-CLFR-60-Rh|nifH|consensus50|strict_single_dominant	91.2752
OSBS-DETR-64-3-Rh|nifH|consensus50|strict_single_dominant	91.2752
OSBS-18-5-Ro|nifH|consensus50|strict_single_dominant	88.9262
CLBJ-19-1-Rh|nifH|consensus50|strict_single_dominant	89.9329
LAJA-16-2-Rh|nifH|consensus50|strict_single_dominant	92.3937
LAJA-1-1-No|nifH|consensus50|strict_single_dominant	95.5782
LAJA-2-1-Ro|nifH|consensus50|strict_single_dominant	95.6916
TOOL-14-Ro|nifH|consensus50|strict_single_dominant	89.7092
JERC-CRJU-86-1-Ro|nifH|consensus50|strict_single_dominant	90.1566
OSBS-36-4-Rh|nifH|consensus50|strict_single_dominant	89.5973
CLBJ-23-1-No|nifH|consensus50|strict_single_dominant	99.7241
DEJU-1-1-No|nifH|consensus50|strict_single_dominant	91.2752
DEJU-3-1-No|nifH|consensus50|strict_single_dominant	78.4116
DEJU-37-No|nifH|consensus50|strict_single_dominant	89.2617
SJER-1-1-No|nifH|consensus50|strict_single_dominant	77.9642
DEJU-40-No|nifH|consensus50|strict_single_dominant	91.9463
DEJU-43-No|nifH|consensus50|strict_single_dominant	69.6868
DEJU-39-No|nifH|consensus50|strict_single_dominant	91.2752
DEJU-46-Ro|nifH|consensus50|strict_single_dominant	91.2752
DEJU-42-No|nifH|consensus50|strict_single_dominant	91.2752
DEJU-62-1-No|nifH|consensus50|strict_single_dominant	91.6107
OAES-35-3-Rh|nifH|consensus50|strict_single_dominant	89.5973
TOOL-32-Ro|nifH|consensus50|strict_single_dominant	88.9262
TOOL-9-Rh|nifH|consensus50|strict_single_dominant	91.8345
OSBS-4-3-Ro|nifH|consensus50|strict_single_dominant	91.2752
TOOL-3-No|nifH|consensus50|strict_single_dominant	91.7226
CLBJ-17-1-Rh|nifH|consensus50|strict_single_dominant	87.6957
JERC-99-1-Ro|nifH|consensus50|strict_single_dominant	91.6107
JERC-10-3-No|nifH|consensus50|strict_single_dominant	88.3669
JERC-11-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
JERC-8-2-No|nifH|consensus50|strict_single_dominant	89.8210
JERC-89-1-Ro|nifH|consensus50|strict_single_dominant	89.0380
MLBS-1-1-No|nifH|consensus50|strict_single_dominant	91.8345
TALL-90-1-No|nifH|consensus50|strict_single_dominant	99.2105
TOOL-5-Ro|nifH|consensus50|strict_single_dominant	92.3937
CLBJ-26-1-No|nifH|consensus50|strict_single_dominant	91.6107
CLBJ-27-1-No|nifH|consensus50|strict_single_dominant	91.6107
GUAN-5-No|nifH|consensus50|strict_single_dominant	91.6107
OAES-6-1-Ro|nifH|consensus50|strict_single_dominant	89.2617
CLBJ-4-1-No|nifH|consensus50|strict_single_dominant	100.0000
CLBJ-4-1-Ro|nifH|consensus50|strict_single_dominant	100.0000
OAES-5-Rh|nifH|consensus50|strict_single_dominant	100.0000
LAJA-6-1-Rh|nifH|consensus50|strict_single_dominant	91.9463
LAJA-22-2-No|nifH|consensus50|strict_single_dominant	91.6107
KONZ-12-1-No|nifH|consensus50|strict_single_dominant	92.1700
KONZ-6-1-No|nifH|consensus50|strict_single_dominant	91.6107
WOOD-5-1-Ro|nifH|consensus50|strict_single_dominant	91.8345
JERC-2-1-No|nifH|consensus50|strict_single_dominant	91.9463
JERC-4-1-No|nifH|consensus50|strict_single_dominant	89.8210
JERC-6-3-No|nifH|consensus50|strict_single_dominant	89.1499
NIWO-1-No|nifH|consensus50|strict_single_dominant	92.9054
SJER-2-3-No|nifH|consensus50|strict_single_dominant	92.1171
ORNL-4-1-No|nifH|consensus50|strict_single_dominant	91.2752
OAES-1-1-No|nifH|consensus50|strict_single_dominant	99.5862
OAES-4-1-Ro|nifH|consensus50|strict_single_dominant	99.5862
OAES-7-1-No|nifH|consensus50|strict_single_dominant	99.5862
