DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST percent identity
COLOR	#000000
COLOR_MIN	#fff7bc
COLOR_MAX	#7f0000
DATA
CLBJ-14-1-No|nifH|consensus50|strict_single_dominant	90.3260
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	85.6270
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	85.4370
DELA-4-1-No|nifH|consensus50|strict_single_dominant	82.6300
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	85.8370
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	85.2620
JERC-201-1-No|nifH|consensus50|strict_single_dominant	85.4750
JERC-43-1-No|nifH|consensus50|strict_single_dominant	85.7490
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	82.9090
JERC-45-5-No|nifH|consensus50|strict_single_dominant	86.4820
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	86.4080
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	86.2360
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	89.6270
TALL-12-2-No|nifH|consensus50|strict_single_dominant	86.4080
TALL-25-2-No|nifH|consensus50|strict_single_dominant	86.5290
TALL-75-2-No|nifH|consensus50|strict_single_dominant	87.6530
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	87.6210
TALL-66-2-No|nifH|consensus50|strict_single_dominant	86.4570
TALL-78-2-No|nifH|consensus50|strict_single_dominant	88.2280
TALL-44-1-No|nifH|consensus50|strict_single_dominant	87.9420
JERC-99-3-No|nifH|consensus50|strict_single_dominant	85.8710
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	84.9400
JERC-48-3-No|nifH|consensus50|strict_single_dominant	85.3190
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	86.0500
JERC-170-No|nifH|consensus50|strict_single_dominant	86.0320
TALL-50-1-No|nifH|consensus50|strict_single_dominant	81.4370
JERC-135-3-No|nifH|consensus50|strict_single_dominant	84.7580
JERC-148-Ro|nifH|consensus50|strict_single_dominant	87.1570
OSBS-LEHI-62-5-Ro|nifH|consensus50|strict_single_dominant	87.9380
SERC-3-1-Ro|nifH|consensus50|strict_single_dominant	89.4870
TALL-73-2-Ro|nifH|consensus50|strict_single_dominant	88.0000
TALL-18-1-No|nifH|consensus50|strict_single_dominant	88.1620
TALL-20-1-No|nifH|consensus50|strict_single_dominant	83.0920
JERC-50-5-No|nifH|consensus50|strict_single_dominant	84.7830
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	84.5310
JERC-39-5-No|nifH|consensus50|strict_single_dominant	86.0680
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	84.7090
JERC-180-5-No|nifH|consensus50|strict_single_dominant	86.5510
JERC-126-4-No|nifH|consensus50|strict_single_dominant	87.9850
TALL-76-3-No|nifH|consensus50|strict_single_dominant	85.8030
JERC-127-2-No|nifH|consensus50|strict_single_dominant	87.6210
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	87.7430
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	84.8300
JERC-96-2-No|nifH|consensus50|strict_single_dominant	84.8480
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	85.9020
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	90.1720
DELA-21-1-No|nifH|consensus50|strict_single_dominant	90.3880
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	88.7430
LENO-8-3-No|nifH|consensus50|strict_single_dominant	89.8750
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	86.9350
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	86.9410
HARV-1-1-No|nifH|consensus50|strict_single_dominant	87.3930
JERC-198-No|nifH|consensus50|strict_single_dominant	86.6020
JERC-37-2-No|nifH|consensus50|strict_single_dominant	86.4320
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	85.4370
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	87.0150
JERC-157-2-No|nifH|consensus50|strict_single_dominant	86.4510
LENO-6-1-No|nifH|consensus50|strict_single_dominant	85.5580
