sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-Rh	noeA.fa	1431	1430	99.9301	11.4899	11	1	0.0699	0	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-No	noeA.fa	1431	1417	99.0217	13.7904	14	14	0.9783	1	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-1-1-Ro	noeA.fa	1431	1428	99.7904	12.1188	11	3	0.2096	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-No	noeA.fa	1431	1428	99.7904	22.8232	22	3	0.2096	3	0.4737	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Ro	noeA.fa	1431	1419	99.1614	483.8672	466	12	0.8386	1	0.4939	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-No	noeA.fa	1431	1418	99.0915	22.8519	23	13	0.9085	4	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-3-1-Ro	noeA.fa	1431	1418	99.0915	8.1377	8	13	0.9085	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-No	noeA.fa	1431	1384	96.7156	5.8784	6	47	3.2844	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Ro	noeA.fa	1431	1428	99.7904	19.9965	12	3	0.2096	0	0.3077	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-1-1-Rh	noeA.fa	1431	1232	86.0936	5.8498	2	199	13.9064	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-12-2-No	noeA.fa	1431	1429	99.8602	10.0769	9	2	0.1398	0	0.3684	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-26-1-Rh	noeA.fa	1431	1427	99.7205	8.4081	7	4	0.2795	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-2-1-Rh	noeA.fa	1431	1401	97.9036	345.8169	10	30	2.0964	0	0.4667	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-40-1-Ro	noeA.fa	1431	1418	99.0915	8.4836	9	13	0.9085	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-47-1-Rh	noeA.fa	1431	1311	91.6143	9.3159	4	120	8.3857	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-5-2-No	noeA.fa	1431	1407	98.3229	17.4305	18	24	1.6771	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-Rh	noeA.fa	1431	1430	99.9301	995.1677	968	1	0.0699	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-Ro	noeA.fa	1431	1431	100.0000	249.7345	253	0	0.0000	3	0.4462	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-No	noeA.fa	1431	1430	99.9301	6288.6876	6606	1	0.0699	5	0.3062	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-Rh	noeA.fa	1431	1431	100.0000	4298.6597	4391	0	0.0000	6	0.4991	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-Ro	noeA.fa	1431	1431	100.0000	160.2928	165	0	0.0000	0	0.0694	20	10	5	0.2000	20	10	pass_single_dominant
CPER-2-No	noeA.fa	1431	1431	100.0000	6554.9273	6867	0	0.0000	5	0.4576	20	10	5	0.2000	20	10	pass_single_dominant
CPER-4-Rh	noeA.fa	1431	1431	100.0000	4125.2858	4206	0	0.0000	5	0.3373	20	10	5	0.2000	20	10	pass_single_dominant
CPER-4-Ro	noeA.fa	1431	1429	99.8602	61.7617	62	2	0.1398	18	0.4898	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-4-No	noeA.fa	1431	1431	100.0000	6637.5926	7018	0	0.0000	5	0.3868	20	10	5	0.2000	20	10	pass_single_dominant
CPER-5-1-Rh	noeA.fa	1431	1431	100.0000	7103.4871	7590	0	0.0000	2	0.3710	20	10	5	0.2000	20	10	pass_single_dominant
CPER-5-1-Ro	noeA.fa	1431	1429	99.8602	66.3501	72	2	0.1398	0	0.0556	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-1-2-Rh	noeA.fa	1431	1226	85.6744	12.5632	2	205	14.3256	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CPER-5-1-No	noeA.fa	1431	1431	100.0000	7125.6191	7524	0	0.0000	6	0.4981	20	10	5	0.2000	20	10	pass_single_dominant
