sample	site	sample_type	in_metadata_exact	match_status	metadata_sample_norm_match	n_norm_matches
N13-2-D-Rh	N13	Rh	no	not_found_in_metadata	NA	NA
N13-2-D-Ro	N13	Ro	no	not_found_in_metadata	NA	NA
N34-2-D-No	N34	No	no	not_found_in_metadata	NA	NA
N34-2-D-Rh	N34	Rh	no	not_found_in_metadata	NA	NA
N34-2-D-Ro	N34	Ro	no	not_found_in_metadata	NA	NA
N13-2-D-No	N13	No	no	not_found_in_metadata	NA	NA
N35-4-D-No	N35	No	no	not_found_in_metadata	NA	NA
N35-4-D-Rh	N35	Rh	no	not_found_in_metadata	NA	NA
N35-4-D-Ro	N35	Ro	no	not_found_in_metadata	NA	NA
N36-4-D-Rh	N36	Rh	no	not_found_in_metadata	NA	NA
N36-4-D-Ro	N36	Ro	no	not_found_in_metadata	NA	NA
N36-4-D-No	N36	No	no	not_found_in_metadata	NA	NA
N38-2-D-Rh	N38	Rh	no	not_found_in_metadata	NA	NA
N38-2-D-No	N38	No	no	not_found_in_metadata	NA	NA
N39-2-D-No	N39	No	no	not_found_in_metadata	NA	NA
N38-2-D-Ro	N38	Ro	no	not_found_in_metadata	NA	NA
N39-2-D-Ro	N39	Ro	no	not_found_in_metadata	NA	NA
N39-2-D-Rh	N39	Rh	no	not_found_in_metadata	NA	NA
N49-3-D-Rh	N49	Rh	no	not_found_in_metadata	NA	NA
N49-3-D-Ro	N49	Ro	no	not_found_in_metadata	NA	NA
N49-3-D-No	N49	No	no	not_found_in_metadata	NA	NA
UKFS-52-1-No	UKFS	No	no	not_found_in_metadata	NA	NA
UKFS-52-1-Rh	UKFS	Rh	no	not_found_in_metadata	NA	NA
UKFS-52-1-Ro	UKFS	Ro	no	not_found_in_metadata	NA	NA
