sample_id	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	reference_coverage_percent	evalue	bitscore	closest_genus	blast_confidence	in_blast_table	tip_label_closest_taxon
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM16083.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.93	796	89.038	NA	0	861	Sinorhizobium	moderate_identity85_qcov70	yes	BLAN-4-1-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_meliloti_(Rhizobium_meliloti) | 85.9% id | 89.0% qcov
BONA-10-Ro|nifH|consensus50|strict_single_dominant	nifH|Ensifer_sp|QHB50514.1	Ensifer_sp	87.407	540	75.3138	NA	1.18e-178	619	Ensifer	moderate_identity85_qcov70	yes	BONA-10-Ro|nifH|consensus50|strict_single_dominant | closest: Ensifer_sp | 87.4% id | 75.3% qcov
CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant	nifH|Sinorhizobium_prairiense|WEJ08560.1	Sinorhizobium_prairiense	90.193	673	75.2796	NA	0	880	Sinorhizobium	moderate_identity85_qcov70	yes	CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_prairiense | 90.2% id | 75.3% qcov
LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant	nifH|Bradyrhizobium_sp._SPXBL-03|XYL85905.1	Bradyrhizobium_sp._SPXBL-03	91.244	651	73.5593	NA	0	885	Bradyrhizobium	moderate_identity85_qcov70	yes	LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant | closest: Bradyrhizobium_sp._SPXBL-03 | 91.2% id | 73.6% qcov
JERC-198-No|nifH|consensus50|strict_single_dominant	nifH|Mesorhizobium_sp._AaZ16|XIK06011.1	Mesorhizobium_sp._AaZ16	86.602	821	91.8345	NA	0	904	Mesorhizobium	moderate_identity85_qcov70	yes	JERC-198-No|nifH|consensus50|strict_single_dominant | closest: Mesorhizobium_sp._AaZ16 | 86.6% id | 91.8% qcov
JERC-37-2-No|nifH|consensus50|strict_single_dominant	nifH|Sinorhizobium_fredii_(Rhizobium_fredii)|XRN48363.1	Sinorhizobium_fredii_(Rhizobium_fredii)	86.432	796	89.3378	NA	0	870	Sinorhizobium	moderate_identity85_qcov70	yes	JERC-37-2-No|nifH|consensus50|strict_single_dominant | closest: Sinorhizobium_fredii_(Rhizobium_fredii) | 86.4% id | 89.3% qcov
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	85.437	824	92.17	NA	0	854	Rhizobium	moderate_identity85_qcov70	yes	JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 85.4% id | 92.2% qcov
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_binae|XXB05130.1	Rhizobium_binae	87.015	824	92.17	NA	0	926	Rhizobium	moderate_identity85_qcov70	yes	JERC-37-2-Ro|nifH|consensus50|strict_single_dominant | closest: Rhizobium_binae | 87.0% id | 92.2% qcov
HARV-1-1-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	87.393	817	91.387	NA	0	937	Rhizobium	moderate_identity85_qcov70	yes	HARV-1-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 87.4% id | 91.4% qcov
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	nifH|Rhizobium_azibense|CAO4004957.1	Rhizobium_azibense	86.659	817	91.387	NA	0	904	Rhizobium	moderate_identity85_qcov70	yes	UKFS-4-1-No|nifH|consensus50|strict_single_dominant | closest: Rhizobium_azibense | 86.7% id | 91.4% qcov
