DATASET_GRADIENT
SEPARATOR TAB
DATASET_LABEL	BLAST query coverage
COLOR	#000000
COLOR_MIN	#edf8fb
COLOR_MAX	#006d2c
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	89.0380
BONA-10-Ro|nifH|consensus50|strict_single_dominant	75.3138
CLBJ-22-1-Ro|nifH|consensus50|strict_single_dominant	75.2796
LAJA-21-1-Rh|nifH|consensus50|strict_single_dominant	73.5593
JERC-198-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-37-2-No|nifH|consensus50|strict_single_dominant	89.3378
JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	92.1700
HARV-1-1-No|nifH|consensus50|strict_single_dominant	91.3870
UKFS-4-1-No|nifH|consensus50|strict_single_dominant	91.3870
OSBS-104-1-No|nifH|consensus50|strict_single_dominant	77.2881
DELA-25-2-No|nifH|consensus50|strict_single_dominant	63.0508
JERC-157-2-No|nifH|consensus50|strict_single_dominant	94.2373
CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	92.5056
LENO-6-1-No|nifH|consensus50|strict_single_dominant	92.1700
CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	72.4294
CLBJ-40-1-No|nifH|consensus50|strict_single_dominant	64.1808
JERC-STBI-63-1-No|nifH|consensus50|strict_single_dominant	43.6158
CLBJ-46-1-No|nifH|consensus50|strict_single_dominant	44.2938
DELA-21-1-No|nifH|consensus50|strict_single_dominant	72.8814
CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	94.3503
CLBJ-33-1-No|nifH|consensus50|strict_single_dominant	65.6497
LENO-8-3-No|nifH|consensus50|strict_single_dominant	72.5424
CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	91.6107
CLBJ-20-1-Ro|nifH|consensus50|strict_single_dominant	70.3579
DSNY-101-1-No|nifH|consensus50|strict_single_dominant	93.8983
SERC-7-1-No|nifH|consensus50|strict_single_dominant	41.6949
DSNY-10-3-No|nifH|consensus50|strict_single_dominant	91.3870
LAJA-15-1-No|nifH|consensus50|strict_single_dominant	94.5763
JERC-88-1-No|nifH|consensus50|strict_single_dominant	41.3559
DSNY-89-No|nifH|consensus50|strict_single_dominant	41.6949
DELA-28-No|nifH|consensus50|strict_single_dominant	92.8412
JERC-203-1-No|nifH|consensus50|strict_single_dominant	92.2819
KONA-1-1-No|nifH|consensus50|strict_single_dominant	91.8345
SERC-4-1-No|nifH|consensus50|strict_single_dominant	74.1243
DSNY-31-1-No|nifH|consensus50|strict_single_dominant	92.7293
JERC-CRJU-86-1-No|nifH|consensus50|strict_single_dominant	91.3870
JERC-96-2-Ro|nifH|consensus50|strict_single_dominant	41.6949
DELA-7-3-No|nifH|consensus50|strict_single_dominant	91.9463
ORNL-25-1-No|nifH|consensus50|strict_single_dominant	73.6723
ORNL-25-1-Rh|nifH|consensus50|strict_single_dominant	77.0694
JERC-98-3-No|nifH|consensus50|strict_single_dominant	91.3870
ORNL-13-2-No|nifH|consensus50|strict_single_dominant	91.7226
DELA-33-1-No|nifH|consensus50|strict_single_dominant	65.4237
N39-2-D-No|nifH|consensus50|strict_single_dominant	94.1243
HARV-4-1-Rh|nifH|consensus50|strict_single_dominant	41.6949
SCBI-11-1-Rh|nifH|consensus50|strict_single_dominant	52.2034
DELA-8-2-No|nifH|consensus50|strict_single_dominant	41.5819
DSNY-54-1-No|nifH|consensus50|strict_single_dominant	77.8531
GRSM-3-No|nifH|consensus50|strict_single_dominant	41.5819
GRSM-1-No|nifH|consensus50|strict_single_dominant	77.0694
SCBI-4-1-No|nifH|consensus50|strict_single_dominant	57.0470
SCBI-4-1-Rh|nifH|consensus50|strict_single_dominant	92.7293
HARV-3-1-No|nifH|consensus50|strict_single_dominant	41.5819
SCBI-6-1-No|nifH|consensus50|strict_single_dominant	76.3982
SCBI-11-1-No|nifH|consensus50|strict_single_dominant	77.4049
KONZ-2-1-No|nifH|consensus50|strict_single_dominant	91.4989
HARV-4-1-No|nifH|consensus50|strict_single_dominant	88.9262
LENO-10-2-No|nifH|consensus50|strict_single_dominant	89.0380
LENO-4-3-No|nifH|consensus50|strict_single_dominant	93.8983
LENO-1-1-No|nifH|consensus50|strict_single_dominant	70.9172
LENO-13-2-No|nifH|consensus50|strict_single_dominant	92.1700
SCBI-4-1-Ro|nifH|consensus50|strict_single_dominant	52.4294
SCBI-9-2-No|nifH|consensus50|strict_single_dominant	41.6949
ORNL-16-No|nifH|consensus50|strict_single_dominant	67.8971
UKFS-52-1-No|nifH|consensus50|strict_single_dominant	44.0678
GRSM-3-Rh|nifH|consensus50|strict_single_dominant	41.5819
UKFS-5-1-No|nifH|consensus50|strict_single_dominant	72.2034
UKFS-6-1-No|nifH|consensus50|strict_single_dominant	44.2938
BONA-5-Rh|nifH|consensus50|strict_single_dominant	41.2429
BONA-9-No|nifH|consensus50|strict_single_dominant	93.7238
TALL-86-1-No|nifH|consensus50|strict_single_dominant	72.2034
DSNY-25-1-No|nifH|consensus50|strict_single_dominant	43.9548
DEJU-2-Rh|nifH|consensus50|strict_single_dominant	50.6215
JERC-187-1-No|nifH|consensus50|strict_single_dominant	43.8418
JERC-48-3-No|nifH|consensus50|strict_single_dominant	93.8983
OSBS-88-1-No|nifH|consensus50|strict_single_dominant	63.2768
TALL-38-3-No|nifH|consensus50|strict_single_dominant	41.3559
DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	93.7853
JERC-127-2-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-67-1-No|nifH|consensus50|strict_single_dominant	55.7047
TALL-26-3-No|nifH|consensus50|strict_single_dominant	72.0904
TALL-58-1-No|nifH|consensus50|strict_single_dominant	41.5819
JERC-170-No|nifH|consensus50|strict_single_dominant	70.4698
TALL-50-1-No|nifH|consensus50|strict_single_dominant	94.6712
JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	72.0904
TALL-63-1-No|nifH|consensus50|strict_single_dominant	72.7684
DSNY-24-1-No|nifH|consensus50|strict_single_dominant	57.5141
TALL-39-2-No|nifH|consensus50|strict_single_dominant	72.3164
CLBJ-16-2-No|nifH|consensus50|strict_single_dominant	91.8345
OSBS-14-3-No|nifH|consensus50|strict_single_dominant	92.1700
OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	78.1879
OSBS-18-5-No|nifH|consensus50|strict_single_dominant	73.8983
DELA-4-1-No|nifH|consensus50|strict_single_dominant	93.6723
TALL-62-1-No|nifH|consensus50|strict_single_dominant	43.2768
TALL-41-3-No|nifH|consensus50|strict_single_dominant	43.2768
TALL-4-1-No|nifH|consensus50|strict_single_dominant	43.2768
CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	94.5763
TALL-51-3-Ro|nifH|consensus50|strict_single_dominant	40.5650
TALL-57-2-Ro|nifH|consensus50|strict_single_dominant	69.0157
TALL-57-2-No|nifH|consensus50|strict_single_dominant	60.2260
OSBS-70-3-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-173-1-No|nifH|consensus50|strict_single_dominant	72.5424
TALL-53-3-Rh|nifH|consensus50|strict_single_dominant	41.2429
DSNY-26-1-No|nifH|consensus50|strict_single_dominant	51.8644
JERC-164-Rh|nifH|consensus50|strict_single_dominant	52.2034
JERC-CHNI-86-4-No|nifH|consensus50|strict_single_dominant	73.5593
DSNY-49-2-No|nifH|consensus50|strict_single_dominant	72.0904
JERC-92-4-No|nifH|consensus50|strict_single_dominant	41.5819
TALL-89-1-No|nifH|consensus50|strict_single_dominant	43.6158
JERC-163-No|nifH|consensus50|strict_single_dominant	41.5819
JERC-41-2-No|nifH|consensus50|strict_single_dominant	57.6271
JERC-107-1-No|nifH|consensus50|strict_single_dominant	41.5819
TALL-49-1-No|nifH|consensus50|strict_single_dominant	79.4785
TALL-51-3-No|nifH|consensus50|strict_single_dominant	62.9379
TALL-54-1-No|nifH|consensus50|strict_single_dominant	41.6949
JERC-35-1-No|nifH|consensus50|strict_single_dominant	57.0621
TALL-16-No|nifH|consensus50|strict_single_dominant	70.8054
JERC-195-2-No|nifH|consensus50|strict_single_dominant	72.0904
TALL-18-1-Ro|nifH|consensus50|strict_single_dominant	71.6384
JERC-39-5-No|nifH|consensus50|strict_single_dominant	72.9944
CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	99.7241
JERC-43-1-No|nifH|consensus50|strict_single_dominant	92.6174
JERC-RHDI-59-3-No|nifH|consensus50|strict_single_dominant	92.2819
OSBS-LEHI-62-5-No|nifH|consensus50|strict_single_dominant	63.1638
JERC-45-5-No|nifH|consensus50|strict_single_dominant	68.6801
JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	91.8345
CLBJ-42-1-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-109-1-No|nifH|consensus50|strict_single_dominant	40.7910
JERC-201-1-No|nifH|consensus50|strict_single_dominant	80.0895
OSBS-75-2-No|nifH|consensus50|strict_single_dominant	41.3559
JERC-99-1-No|nifH|consensus50|strict_single_dominant	41.3559
JERC-128-2-No|nifH|consensus50|strict_single_dominant	52.3164
DSNY-66-1-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-110-4-No|nifH|consensus50|strict_single_dominant	78.9001
JERC-180-5-Ro|nifH|consensus50|strict_single_dominant	41.8079
TALL-66-2-No|nifH|consensus50|strict_single_dominant	92.5056
TALL-80-1-No|nifH|consensus50|strict_single_dominant	64.2857
TALL-79-1-No|nifH|consensus50|strict_single_dominant	41.6949
TALL-76-3-No|nifH|consensus50|strict_single_dominant	89.8210
TALL-78-2-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-23-1-No|nifH|consensus50|strict_single_dominant	78.4116
JERC-140-No|nifH|consensus50|strict_single_dominant	72.7069
TALL-12-2-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-25-2-No|nifH|consensus50|strict_single_dominant	92.1700
TALL-75-2-No|nifH|consensus50|strict_single_dominant	91.4989
JERC-141-No|nifH|consensus50|strict_single_dominant	74.4966
LENO-2-1-No|nifH|consensus50|strict_single_dominant	78.0761
TALL-44-1-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-99-3-No|nifH|consensus50|strict_single_dominant	91.8345
JERC-96-2-No|nifH|consensus50|strict_single_dominant	92.2819
JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	92.1700
JERC-126-4-No|nifH|consensus50|strict_single_dominant	92.1700
OSBS-58-1-No|nifH|consensus50|strict_single_dominant	92.1700
JERC-180-5-No|nifH|consensus50|strict_single_dominant	70.6935
CLBJ-41-1-No|nifH|consensus50|strict_single_dominant	78.0761
JERC-106-1-No|nifH|consensus50|strict_single_dominant	78.0761
ORNL-7-2-No|nifH|consensus50|strict_single_dominant	78.4116
JERC-148-Ro|nifH|consensus50|strict_single_dominant	89.7092
JERC-150-No|nifH|consensus50|strict_single_dominant	78.5235
OSBS-109-4-No|nifH|consensus50|strict_single_dominant	78.1879
TALL-18-1-No|nifH|consensus50|strict_single_dominant	80.3132
JERC-143-No|nifH|consensus50|strict_single_dominant	78.1879
JERC-135-3-No|nifH|consensus50|strict_single_dominant	78.5235
TALL-20-1-No|nifH|consensus50|strict_single_dominant	92.6174
JERC-CLMA-83-1-No|nifH|consensus50|strict_single_dominant	72.3164
JERC-50-5-No|nifH|consensus50|strict_single_dominant	93.5593
JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	91.8345
OSBS-CEVI-50-3-No|nifH|consensus50|strict_single_dominant	41.2429
DEJU-16-1-Ro|nifH|consensus50|strict_single_dominant	41.8079
ORNL-20-1-No|nifH|consensus50|strict_single_dominant	43.7642
DSNY-53-1-No|nifH|consensus50|strict_single_dominant	43.6158
GUAN-4-No|nifH|consensus50|strict_single_dominant	92.1700
GUAN-8-No|nifH|consensus50|strict_single_dominant	92.5056
KONZ-9-2-No|nifH|consensus50|strict_single_dominant	92.1700
LAJA-12-1-No|nifH|consensus50|strict_single_dominant	74.0492
OSBS-59-1-No|nifH|consensus50|strict_single_dominant	43.6158
TALL-37-1-No|nifH|consensus50|strict_single_dominant	37.5141
UKFS-6-3-Rh|nifH|consensus50|strict_single_dominant	43.6158
ORNL-24-Rh|nifH|consensus50|strict_single_dominant	51.9774
BONA-12-1-Ro|nifH|consensus50|strict_single_dominant	53.1073
TALL-90-1-Ro|nifH|consensus50|strict_single_dominant	53.8110
TALL-58-1-Rh|nifH|consensus50|strict_single_dominant	41.8079
DEJU-19-1-Ro|nifH|consensus50|strict_single_dominant	41.8079
TALL-89-1-Ro|nifH|consensus50|strict_single_dominant	78.5235
GUAN-10-Rh|nifH|consensus50|strict_single_dominant	70.3579
GUAN-3-No|nifH|consensus50|strict_single_dominant	93.6723
JERC-176-5-Rh|nifH|consensus50|strict_single_dominant	41.8079
CLBJ-46-1-Rh|nifH|consensus50|strict_single_dominant	65.7596
GUAN-3-Ro|nifH|consensus50|strict_single_dominant	71.6384
LENO-8-3-Rh|nifH|consensus50|strict_single_dominant	59.7315
TALL-75-2-Rh|nifH|consensus50|strict_single_dominant	41.8079
DEJU-4-1-Ro|nifH|consensus50|strict_single_dominant	41.1299
CLBJ-36-1-No|nifH|consensus50|strict_single_dominant	69.5749
DSNY-10-3-Ro|nifH|consensus50|strict_single_dominant	64.5414
DSNY-22-3-Ro|nifH|consensus50|strict_single_dominant	71.6384
DSNY-98-4-Rh|nifH|consensus50|strict_single_dominant	70.3955
LAJA-4-1-Rh|nifH|consensus50|strict_single_dominant	92.3937
TALL-63-1-Rh|nifH|consensus50|strict_single_dominant	73.3781
OSBS-68-1-Ro|nifH|consensus50|strict_single_dominant	43.2768
OSBS-81-1-Ro|nifH|consensus50|strict_single_dominant	52.0904
JERC-126-4-Rh|nifH|consensus50|strict_single_dominant	71.7514
DEJU-9-1-No|nifH|consensus50|strict_single_dominant	69.9105
DSNY-90-Rh|nifH|consensus50|strict_single_dominant	69.7987
JERC-188-1-Ro|nifH|consensus50|strict_single_dominant	43.1638
JERC-203-1-Rh|nifH|consensus50|strict_single_dominant	94.6712
JERC-113-3-Rh|nifH|consensus50|strict_single_dominant	66.8934
WOOD-1-1-Rh|nifH|consensus50|strict_single_dominant	93.8983
DEJU-17-1-Rh|nifH|consensus50|strict_single_dominant	39.7740
OAES-36-3-Ro|nifH|consensus50|strict_single_dominant	74.1497
ORNL-10-1-Rh|nifH|consensus50|strict_single_dominant	47.7966
OSBS-72-1-Rh|nifH|consensus50|strict_single_dominant	43.6158
JERC-155-No|nifH|consensus50|strict_single_dominant	91.9463
JERC-99-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
OSBS-58-1-Rh|nifH|consensus50|strict_single_dominant	91.6107
JERC-188-1-Rh|nifH|consensus50|strict_single_dominant	74.2373
TALL-34-1-Ro|nifH|consensus50|strict_single_dominant	49.0395
HEAL-5-2-Ro|nifH|consensus50|strict_single_dominant	52.4294
JERC-98-3-Rh|nifH|consensus50|strict_single_dominant	43.6158
SCBI-8-2-Rh|nifH|consensus50|strict_single_dominant	74.6032
JERC-99-2-Rh|nifH|consensus50|strict_single_dominant	43.0508
JERC-192-1-Rh|nifH|consensus50|strict_single_dominant	52.3164
OSBS-52-5-Rh|nifH|consensus50|strict_single_dominant	35.2542
OSBS-65-1-Rh|nifH|consensus50|strict_single_dominant	74.3503
TALL-81-1-Ro|nifH|consensus50|strict_single_dominant	37.6271
DSNY-77-3-Rh|nifH|consensus50|strict_single_dominant	43.2768
DSNY-78-1-Rh|nifH|consensus50|strict_single_dominant	41.3559
JERC-171-Rh|nifH|consensus50|strict_single_dominant	71.6384
DEJU-10-1-Rh|nifH|consensus50|strict_single_dominant	42.5989
DSNY-30-1-Rh|nifH|consensus50|strict_single_dominant	71.7514
OSBS-106-1-No|nifH|consensus50|strict_single_dominant	43.6158
OSBS-89-1-Ro|nifH|consensus50|strict_single_dominant	71.7514
