DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Site
COLOR	#000000
STRIP_WIDTH	35
MARGIN	5
SHOW_INTERNAL	0
DATA
BLAN-4-1-No|nifH|consensus50|strict_single_dominant	#E16A86	BLAN
BONA-10-Ro|nifH|consensus50|strict_single_dominant	#DE6F75	BONA
CLBJ-40-1-Rh|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
TALL-59-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
DSNY-88-1-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
GRSM-4-2-Ro|nifH|consensus50|strict_single_dominant	#A29300	GRSM
OSBS-91-1-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
OSBS-103-2-No|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TALL-11-1-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-92-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
CLBJ-44-1-No|nifH|consensus50|strict_single_dominant	#D97462	CLBJ
DSNY-99-Rh|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
LENO-12-3-Rh|nifH|consensus50|strict_single_dominant	#00AD82	LENO
TALL-1-1-No|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
SERC-3-1-Rh|nifH|consensus50|strict_single_dominant	#5D91E5	SERC
DSNY-88-1-No|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
ORNL-14-1-No|nifH|consensus50|strict_single_dominant	#00A6C8	ORNL
JERC-159-2-No|nifH|consensus50|strict_single_dominant	#5AA200	JERC
DSNY-98-4-Ro|nifH|consensus50|strict_single_dominant	#AE8E00	DSNY
LAJA-1-1-No|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
LAJA-2-1-Ro|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
LAJA-1-2-No|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
LAJA-1-1-Ro|nifH|consensus50|strict_single_dominant	#00AC71	LAJA
TALL-14-2-Ro|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-66-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
YELL-11-Rh|nifH|consensus50|strict_single_dominant	#E36797	YELL
TALL-39-2-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
TALL-63-1-Rh|nifH|consensus50|strict_single_dominant	#AC7AE3	TALL
OAES-35-3-Rh|nifH|consensus50|strict_single_dominant	#00A9BC	OAES
BONA-7-Rh|nifH|consensus50|strict_single_dominant	#DE6F75	BONA
DEJU-6-1-Ro|nifH|consensus50|strict_single_dominant	#C38401	DEJU
LENO-12-3-Ro|nifH|consensus50|strict_single_dominant	#00AD82	LENO
OSBS-4-3-Ro|nifH|consensus50|strict_single_dominant	#00A2D2	OSBS
TOOL-17-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-28-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-29-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-3-No|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-32-Ro|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
TOOL-9-Rh|nifH|consensus50|strict_single_dominant	#CA6CD6	TOOL
BONA-12-1-Ro|nifH|consensus50|strict_single_dominant	#DE6F75	BONA
