sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BLAN-1-1-Rh	nifK.fa	1542	1438	93.2555	110.2698	15	104	6.7445	72	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-1-1-Ro	nifK.fa	1542	1288	83.5279	35.9099	11	254	16.4721	40	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-1-1-No	nifK.fa	1542	1440	93.3852	437.8184	18	102	6.6148	101	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Rh	nifK.fa	1542	1395	90.4669	9.9818	9	147	9.5331	26	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-Ro	nifK.fa	1542	1322	85.7328	280.3800	262	220	14.2672	55	0.4859	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-2-1-No	nifK.fa	1542	1398	90.6615	522.0713	23	144	9.3385	50	0.4595	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-Rh	nifK.fa	1542	1393	90.3372	30.6083	6	149	9.6628	21	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BLAN-3-1-Ro	nifK.fa	1542	1259	81.6472	1741.4170	212	283	18.3528	5	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-No	nifK.fa	1542	1321	85.6680	36.0130	6	221	14.3320	4	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
BLAN-4-1-Ro	nifK.fa	1542	1346	87.2892	9.7782	6	196	12.7108	12	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-2-Ro	nifK.fa	1542	1395	90.4669	9.2419	7	147	9.5331	7	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
