tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
CLBJ-14-1-No|nifD|consensus50|strict_single_dominant	CLBJ-14-1-No	D11	Strophostyles leiosperma	6/19/24	9.205	441.84	Half	CLBJ-14	dry	nodule	Fabaceae	CLBJ	Strophostyles	Phaseoleae	CLBJ_002_T	Wise	TX	yes	33.40398	-97.57114	5/8/24	Mesorhizobium	Mesorhizobium_sp._WSM2240	90.084	85.5744	0	1701
CLBJ-25-2-No|nifD|consensus50|strict_single_dominant	CLBJ-25-2-No	D11	Dalea tenuis	9/18/24	0	0	Quarter	CLBJ-25	ethanol	nodule	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	Bradyrhizobium	Bradyrhizobium_sp._PUT101	87.384	49.1514	0	850
CLBJ-25-2-Rh|nifD|consensus50|strict_single_dominant	CLBJ-25-2-Rh	D11	Dalea tenuis	9/18/24	0	0	Quarter	CLBJ-25	ethanol	rhizosphere	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	Azorhizobium	Azorhizobium_caulinodans	87.766	49.0862	0	865
CLBJ-25-2-Ro|nifD|consensus50|strict_single_dominant	CLBJ-25-2-Ro	D11	Dalea tenuis	9/18/24	0	0	Quarter	CLBJ-25	ethanol	root	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	Microvirga	Microvirga_sp._KLBC_81	85.878	85.5091	0	1395
DSNY-GARE-35-1-Rh|nifD|consensus50|strict_single_dominant	DSNY-GARE-35-1-Rh	D03	Galactia regularis cf sp.	9/18/24	0	0	Quarter	DSNY-GARE-35	dry	rhizosphere	Fabaceae	DSNY	Galactia	Diocleae	DSNY_006	Osceola	Florida	yes	NA	NA	20240430	Microvirga	Microvirga_lotononidis	87.122	49.6736	0	863
CLBJ-29-2-Ro|nifD|consensus50|strict_single_dominant	CLBJ-29-2-Ro	D11	Dalea aurea	9/18/24	0.088	4.224	Quarter	CLBJ-29	ethanol	root	Fabaceae	CLBJ	Dalea	Amorpheae	CLBJ_037_R	Wise	TX	yes	33.322109	-97.58278	6/5/24	Azorhizobium	Azorhizobium_caulinodans	87.533	49.2167	0	854
DSNY-49-2-Rh|nifD|consensus50|strict_single_dominant	DSNY-49-2-Rh	D03	Chamaecrista nictitans	9/18/24	0	0	Quarter	DSNY-CHNI2-49	dry	rhizosphere	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_043	Osceola	Florida	yes	NA	NA	20240529	Azorhizobium	Azorhizobium_caulinodans	88.032	49.0862	0	878
OSBS-55-1-Ro|nifD|consensus50|strict_single_dominant	OSBS-55-1-Ro	D03	Lespedeza hirta	3/6/25	0.478	22.944	Quarter	OSBS-55	dry	root	Fabaceae	OSBS	Lespedeza	Desmodieae	OSBS_063	Putnam	FL	yes	NA	NA	20240618	Mesorhizobium	Mesorhizobium_sp._WSM4083	86.476	52.611	0	905
GUAN-6-3-No|nifD|consensus50|strict_single_dominant	GUAN-6-3-No	D04	Desmodium tortuosum	1/23/25	0	0	Quarter	GUAN-6	dry	nodule	Fabaceae	GUAN	Desmodium	Desmodieae	GUAN_006	Guanica	P.R	yes	17.9616329	-66.872119	10/14/24	Microvirga	Microvirga_sp._KLBC_81	86.567	52.4804	0	898
OSBS-82-1-Ro|nifD|consensus50|strict_single_dominant	OSBS-82-1-Ro	D03	Stylosanthes biflora	2/13/25	NA	0	Quarter	OSBS-82	dry	root	Fabaceae	OSBS	Stylosanthes	Dalbergieae	OSBS_004	Putnam	FL	yes	NA	NA	20240822	Microvirga	Microvirga_sp._KLBC_81	86.49	51.6971	0	881
CLBJ-41-1-No|nifD|consensus50|strict_single_dominant	CLBJ-41-1-No	D11	Lespedeza cuneata	4/10/25	1.62	77.76	Quarter	CLBJ-41	ethanol	nodule	Fabaceae	CLBJ	Lespedeza	Desmodieae	CLBJ_034	Wise	TX	no	33.23685	-97.34119	9/2/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	94.466	50.718	0	1218
