recovered_genes	n_good_genes	total_samples
None	0	877
nifH+nifD+nifK	3	623
nifH+nifD	2	271
nifH	1	218
nifJ	1	216
nifD	1	116
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB	8	103
nifH+nifD+nifK+nodX	4	47
nifH+nifD+nifK+nodL	4	43
nifD+nifK	2	36
nifH+nifD+nifK+nifJ	4	33
nifH+nifD+nifJ	3	32
nifH+nifK	2	30
nifH+nifD+nifK+nodL+nolG+nolF+noeA	7	16
nifH+nifJ	2	16
nodX	1	16
nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX	9	15
nifH+nifD+nifK+nolG+nolF	5	11
nifK	1	11
nifD+nifK+nodL+nolG+nolF+noeA+noeB	7	10
nifH+nifD+nifK+nolG+nolF+noeA	6	10
nifH+nifD+nifK+nolG	4	10
nifD+nodX	2	9
nifH+nifD+nodX	3	7
nifH+nifD+nifK+nolG+nolF+noeA+noeB	7	6
nifH+nifD+nifK+nifJ+nodX	5	6
nifH+nifD+nifK+nodL+nolG	5	6
nifD+nifK+nodX	3	6
nifH+nifD+nifK+nolF	4	5
nifH+nifD+nodL	3	5
nifD+nifJ	2	5
nifJ+nodX	2	5
nifH+nifD+nifK+nodL+nolG+noeA	6	4
nifH+nifD+nifK+nodL+nolG+nolF	6	4
nifH+nodL	2	4
nifH+nifD+nifK+nodL+nolG+noeA+noeB	7	3
nifH+nifD+nolF	3	3
nifH+nifK+nodX	3	3
nifK+nodX	2	3
nifH+nifD+nifK+nifJ+nodL+nolG+nolF+noeA+noeB	9	2
nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX	8	2
nifH+nifD+nifK+nodL+nolG+nolF+noeA+nodX	8	2
nifH+nifD+nifK+nodL+nolG+nolF+noeB	7	2
nifD+nifK+nolG+nolF+noeA	5	2
nifH+nifD+nifK+nolG+noeA	5	2
nifH+nifD+nodL+nolG	4	2
nifH+nifK+nifJ+nodX	4	2
nifD+nifJ+nodX	3	2
nifH+nodX	2	2
nolG	1	2
nifH+nifD+nifJ+nodL+nolG+nolF+noeA	7	1
nifH+nifD+nifK+nolG+nolF+noeA+nodX	7	1
nifH+nifD+nodL+nolG+nolF+noeA+noeB	7	1
nifK+nodL+nolG+nolF+noeA+noeB+nodX	7	1
nifD+nifK+nodL+nolG+nolF+noeA	6	1
nifH+nifD+nifK+nifJ+nodL+nolG	6	1
nifH+nifD+nifK+nodL+noeA+noeB	6	1
nifH+nifD+nifK+nodL+nolF+noeA	6	1
nifH+nifD+nifK+nolG+nolF+nodX	6	1
nifH+nifD+nifK+nolG+nolF+noeB	6	1
nifD+nifK+nodL+nolF+noeA	5	1
nifD+nifK+nodL+nolG+noeA	5	1
nifH+nifD+nifK+nifJ+nolF	5	1
nifH+nifD+nifK+nifJ+nolG	5	1
nifH+nifD+nifK+nodL+nodX	5	1
nifH+nifD+nifK+nodL+noeA	5	1
nifH+nifD+nifK+nodL+nolF	5	1
nifH+nifD+nifK+noeA+nodX	5	1
nifH+nifD+nifK+nolF+nodX	5	1
nifH+nifD+nolG+noeA+noeB	5	1
nifD+nifK+nifJ+nodX	4	1
nifD+nifK+nodL+nodX	4	1
nifD+nifK+nodL+nolG	4	1
nifD+nifK+nolG+noeA	4	1
nifD+nolG+nolF+noeA	4	1
nifH+nifD+nifJ+nodX	4	1
nifH+nifD+nifJ+nolF	4	1
nifH+nifD+nifK+noeA	4	1
nifH+nifD+nolF+noeA	4	1
nifD+nifK+nifJ	3	1
nifD+nifK+nodL	3	1
nifD+nifK+noeA	3	1
nifD+nifK+noeB	3	1
nifD+nifK+nolG	3	1
nifH+nifD+noeA	3	1
nifH+nifD+nolG	3	1
nifH+nifK+nodL	3	1
nifK+nifJ+nodX	3	1
nifD+nolF	2	1
nifH+noeA	2	1
nifK+noeA	2	1
