source_file	gene	sample_id	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	reference_coverage_percent	evalue	bitscore	best_reference_genus
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	Bradyrhizobium_ottawaense	Bradyrhizobium	nifH|Bradyrhizobium_ottawaense|XZF72199.1	Bradyrhizobium_ottawaense	85.127	827	82.9488	93.4463	0	994	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	Bradyrhizobium_ottawaense	Bradyrhizobium	nifH|Bradyrhizobium_ottawaense|XZF72199.1	Bradyrhizobium_ottawaense	85.852	827	82.9488	93.4463	0	999	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	Bradyrhizobium_ottawaense	Bradyrhizobium	nifH|Bradyrhizobium_ottawaense|XZF72199.1	Bradyrhizobium_ottawaense	86.642	816	81.8455	92.2034	0	1008	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.847	789	79.1374	88.255	0	1072	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.848	816	81.8455	91.2752	0	1138	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-3-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	Rhizobium_leguminosarum	Rhizobium	nifH|Rhizobium_leguminosarum|BEJ25671.1	Rhizobium_leguminosarum	89.146	820	82.2467	92.3423	0	1134	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-3-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifH|Microvirga_sp._KLBC_81|PVE21514.1	Microvirga_sp._KLBC_81	80.22	819	82.1464	91.6107	0	856	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-3-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	Rhizobium_leguminosarum	Rhizobium	nifH|Rhizobium_leguminosarum|XYR18004.1	Rhizobium_leguminosarum	92.488	812	81.4443	90.8277	0	1237	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-4-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.766	822	82.4473	91.9463	0	1014	NA
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv	nifH	BLAN-4-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifH|Sinorhizobium_meliloti_(Rhizobium_meliloti)|XEM22073.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	82.173	819	82.1464	91.6107	0	931	NA
