tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nolF|consensus50|strict_single_dominant	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	nodule	Trifolium	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.909	98.6486	0	2017
BLAN-1-1-Rh|nolF|consensus50|strict_single_dominant	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	rhizosphere	Trifolium	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.812	96.036	0	1958
WOOD-1-1-No|nolF|consensus50|strict_single_dominant	WOOD-1-1-No	D09	Melilotus officinalis	5/2/25	0	0	Quarter	WOOD-1	ethanol	nodule	Fabaceae	WOOD	Melilotus	Trifolieae	DCFS_014	Stutsman	ND	no	46.89494	-98.6864	9/16/24	nodule	Melilotus	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.538	97.5676	0	1973
DSNY-13-1-Ro|nolF|consensus50|strict_single_dominant	DSNY-13-1-Ro	D03	Crotalaria pallida var. obovata	8/19/24	0.599	28.752	Quarter	DSNY-CRPA-13	dry	root	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_044	Osceola	Florida	yes	28.12693243	-81.43561487	20240320	root	Crotalaria	Crotalarieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.706	91.982	0	1869
WOOD-12-Rh|nolF|consensus50|strict_single_dominant	WOOD-12-Rh	D09	Medicago sativa	4/24/25	0	0	Quarter	WOOD-12	ethanol	rhizosphere	Fabaceae	WOOD	Medicago	Trifolieae	WOOD_030	Stutsman	ND	no	47.13885	-99.2415	9/26/24	rhizosphere	Medicago	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.819	99.2793	0	2025
TALL-28-1-Ro|nolF|consensus50|strict_single_dominant	TALL-28-1-Ro	D08	Desmodium sp.	4/17/25	0.5085	24.408	Quarter	TALL-28	dry	root	Fabaceae	TALL	Desmodium	Desmodieae	TALL_008	Hale County	AL	yes	32.92293	-87.43434	8/26/24	root	Desmodium	Desmodieae	yes	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.72	96.6667	0	1965
BLAN-1-1-Ro|nolF|consensus50|strict_single_dominant	BLAN-1-1-Ro	D02	Trifolium repens	4/23/25	0.053	2.544	Quarter	BLAN-1	ethanol	root	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	root	Trifolium	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.819	99.3694	0	2026
OAES-15-No|nolF|consensus50|strict_single_dominant	OAES-15-No	D11	Astragalus crassicarpus var. crassicarpus	8/19/24	0.0855	4.104	Quarter	OAES-15	ethanol	nodule	Fabaceae	OAES	Astragalus	Galegeae	OAES_021_R	Washita	OK	yes	35.41182	-99.07327	4/11/24	nodule	Astragalus	Galegeae	yes	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.808	93.964	0	1916
OAES-13-1-Ro|nolF|consensus50|strict_single_dominant	OAES-13-1-Ro	D11	Ceanothus herbaceus	8/19/24	0.1425	6.84	Quarter	OAES-13	ethanol	root	Rhamnaceae	OAES	Ceanothus	actinorhizal	OAES_005	Washita	OK	yes	35.39246	-99.10002	4/10/24	root	Ceanothus	actinorhizal	yes	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.817	98.1982	0	2002
DCFS-8-1-Ro|nolF|consensus50|strict_single_dominant	DCFS-8-1-Ro	D09	Melilotus officinalis	4/23/25	0.165	7.92	Quarter	DCFS-8	dry	root	Fabaceae	DCFS	Melilotus	Trifolieae	DCFS_067	Stutsman	ND	no	47.16087	99.11052	6/20/24	root	Melilotus	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_Rm41	99.908	98.3784	0	2012
