tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nodX|consensus50|pass_single_dominant	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	nodule	Trifolium	Trifolieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.455	98.2159	0	2012
BLAN-1-1-Rh|nodX|consensus50|pass_single_dominant	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	rhizosphere	Trifolium	Trifolieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.242	94.1124	0	1914
BLAN-1-1-Ro|nodX|consensus50|pass_single_dominant	BLAN-1-1-Ro	D02	Trifolium repens	4/23/25	0.053	2.544	Quarter	BLAN-1	ethanol	root	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	root	Trifolium	Trifolieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.728	98.2159	0	2021
TALL-70-1-Rh|nodX|consensus50|pass_single_dominant	TALL-70-1-Rh	D08	Lespedeza sp.	4/8/25	0.4445	21.336	Quarter	TALL-70	NA	rhizosphere	Fabaceae	TALL	Lespedeza	Desmodieae	TALL_055	Bibb County	AL	0	32.948535	-87.39881	9/3/24	rhizosphere	Lespedeza	Desmodieae	0	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.545	98.0375	0	2008
WOOD-10-1-Rh|nodX|consensus50|pass_single_dominant	WOOD-10-1-Rh	D09	Medicago lupulina	4/24/25	0	0	Quarter	WOOD-10	ethanol	rhizosphere	Fabaceae	WOOD	Medicago	Trifolieae	WOOD_030	Stutsman	ND	no	47.13885	-99.2415	9/26/24	rhizosphere	Medicago	Trifolieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.631	96.6994	0	1986
DSNY-85-1-Rh|nodX|consensus50|pass_single_dominant	DSNY-85-1-Rh	D03	Desmodium triflorum	4/4/25	0	0	Quarter	DSNY-85	dry	rhizosphere	Fabaceae	DSNY	Desmodium	Desmodieae	DSNY_015	Polk	Florida	yes	28.1094133	-81.4308468	20240904	rhizosphere	Desmodium	Desmodieae	yes	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.354	96.6102	0	1969
SCBI-1-1-Rh|nodX|consensus50|pass_single_dominant	SCBI-1-1-Rh	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-1	ethanol	rhizosphere	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	6/26/24	rhizosphere	Lespedeza	Desmodieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.539	96.6994	0	1978
JERC-135-3-Rh|nodX|consensus50|pass_single_dominant	JERC-135-3-Rh	D03	Stylosanthes biflora	4/8/25	0	0	Quarter	JERC-135	dry	rhizosphere	Fabaceae	JERC	Stylosanthes	Dalbergieae	JERC_048	Baker County	Georgia	yes	NA	NA	20240807	rhizosphere	Stylosanthes	Dalbergieae	yes	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.273	98.2159	0	1999
GRSM-1-No|nodX|consensus50|pass_single_dominant	GRSM-1-No	D07	Amphicarpaea bracteata	4/17/25	0.324	15.552	Quarter	GRSM-1	dry	nodule	Fabaceae	GRSM	Amphicarpaea	Phaseoleae	GRSM_055	Sevier	TN	yes	35.685523	-83.502232	6/3/24	nodule	Amphicarpaea	Phaseoleae	yes	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.728	98.3051	0	2019
BLAN-2-1-No|nodX|consensus50|pass_single_dominant	BLAN-2-1-No	D02	Desmodium sp.	4/23/25	3.94	189.12	Quarter	BLAN-2	ethanol	nodule	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	nodule	Desmodium	Desmodieae	yes	Rhizobium	Rhizobium_anhuiense_bv._trifolii	98.986	96.7886	0	1962
BLAN-4-1-Ro|nodX|consensus50|pass_single_dominant	BLAN-4-1-Ro	D02	Elaeagnus umbellata	4/23/25	0	0	Quarter	BLAN-4	ethanol	root	Elaeagnaceae	BLAN	Elaeagnus	actinorhizal	BLAN_020	Clarke	VA	no	39.100987	-77.980772	8/13/24	root	Elaeagnus	actinorhizal	no	Rhizobium	Rhizobium_leguminosarum	99.171	96.7886	0	1958
SCBI-2-1-No|nodX|consensus50|pass_single_dominant	SCBI-2-1-No	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-2	ethanol	nodule	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	NA	nodule	Lespedeza	Desmodieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.456	98.3051	0	2004
DCFS-6-1-No|nodX|consensus50|pass_single_dominant	DCFS-6-1-No	D09	Medicago lupulina	4/23/25	0	0	Quarter	DCFS-6	dry	nodule	Fabaceae	DCFS	Medicago	Trifolieae	DCFS_065	Stutsman	ND	no	47.16085	99.11081	6/20/24	nodule	Medicago	Trifolieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.093	98.3051	0	1993
BLAN-3-1-No|nodX|consensus50|pass_mixed_possible_multitemplate	BLAN-3-1-No	D02	Kummerowia striata	4/23/25	0.09	4.32	Quarter	BLAN-3	ethanol	nodule	Fabaceae	BLAN	Kummerowia	Desmodieae	BLAN_020	Clarke	VA	no	39.100957	-77.980777	8/13/24	nodule	Kummerowia	Desmodieae	no	Rhizobium	Rhizobium_anhuiense_bv._trifolii	99.004	98.4835	0	1999
BLAN-2-1-Ro|nodX|consensus50|pass_single_dominant	BLAN-2-1-Ro	D02	Desmodium sp.	4/23/25	0.1405	6.744	Quarter	BLAN-2	ethanol	root	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	root	Desmodium	Desmodieae	yes	Rhizobium	Rhizobium_beringeri	100	98.2159	0	2034
JERC-25-1-Rh|nodX|consensus50|pass_single_dominant	JERC-25-1-Rh	D03	Desmodium lineatum	2/17/25	0	0	Quarter	JERC-25	dry	rhizosphere	Fabaceae	JERC	Desmodium	Desmodieae	JERC_007	Baker County	Georgia	yes	NA	NA	20240603	rhizosphere	Desmodium	Desmodieae	yes	Rhizobium	Rhizobium_beringeri	99.904	93.0419	0	1923
ORNL-4-1-Ro|nodX|consensus50|pass_single_dominant	ORNL-4-1-Ro	D07	Trifolium pratense	2/17/25	0.7395	35.496	Quarter	ORNL-4	dry	root	Fabaceae	ORNL	Trifolium	Trifolieae	ORNL_021	Anderson	TN	no	35.955556	-84.221111	5/15/24	root	Trifolium	Trifolieae	no	Rhizobium	Rhizobium_beringeri	99.909	98.4835	0	2036
BLAN-3-1-Ro|nodX|consensus50|pass_single_dominant	BLAN-3-1-Ro	D02	Kummerowia striata	4/23/25	0.0685	3.288	Quarter	BLAN-3	ethanol	root	Fabaceae	BLAN	Kummerowia	Desmodieae	BLAN_020	Clarke	VA	no	39.100957	-77.980777	8/13/24	root	Kummerowia	Desmodieae	no	Rhizobium	Rhizobium_beringeri	100	98.4835	0	2039
DSNY-25-1-Rh|nodX|consensus50|pass_single_dominant	DSNY-25-1-Rh	D03	Lupinus floridanus	9/18/24	1.285	61.68	Quarter	DSNY-LUFL-25	dry	rhizosphere	Fabaceae	DSNY	Lupinus	Genisteae	DSNY_025	Polk	Florida	yes	28.06355	-81.4112	20240402	rhizosphere	Lupinus	Genisteae	yes	Rhizobium	Rhizobium_leguminosarum	99.038	92.6851	0	1879
DSNY-52-1-No|nodX|consensus50|pass_mixed_possible_multitemplate	DSNY-52-1-No	D03	Chamaecrista nictitans	9/25/24	0.724	34.752	Quarter	DSNY-CHNI2-52	dry	nodule	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_041	Osceola	Florida	yes	NA	NA	20240529	nodule	Chamaecrista	Cassieae	yes	Rhizobium	Rhizobium_leguminosarum	96.866	88.2248	0	1703
JERC-LEVI-79-2-Ro|nodX|consensus50|pass_single_dominant	JERC-LEVI-79-2-Ro	D03	Lespedeza virginica	12/4/24	0.077	3.696	Quarter	JERC-79	dry	root	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_047	Baker County	Georgia	yes	NA	NA	20240618	root	Lespedeza	Desmodieae	yes	Rhizobium	Rhizobium_leguminosarum	98.43	90.901	0	1810
JERC-CERE-67-1-No|nodX|consensus50|pass_single_dominant	JERC-CERE-67-1-No	D03	Lespedeza repens	12/4/24	0.666	31.968	Quarter	JERC-67	dry	nodule	Fabaceae	JERC	Lespedeza	Desmodieae	JERC_050	Baker County	Georgia	yes	NA	NA	20240618	nodule	Lespedeza	Desmodieae	yes	Rhizobium	Rhizobium_leguminosarum	98.361	97.9483	0	1953
GUAN-8-No|nodX|consensus50|pass_single_dominant	GUAN-8-No	D04	Centrosema virginiana	2/19/25	1.15	55.2	Quarter	GUAN-8	dry	nodule	Fabaceae	GUAN	Centrosema	Phaseoleae	GUAN_049	Guanica	P.R	yes	17.968	-66.864449	10/31/24	nodule	Centrosema	Phaseoleae	yes	Rhizobium	Rhizobium_leguminosarum	98.911	98.3051	0	1982
