tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	sample_type	host_genus	host_tribe	native_status	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	nodule	Trifolium	Trifolieae	no	Bradyrhizobium	Bradyrhizobium_ottawaense	85.439	83.3501	0	911
BLAN-1-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	rhizosphere	Trifolium	Trifolieae	no	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	85.05	79.8395	0	852
BLAN-2-1-No|nifH|consensus50|pass_mixed_possible_multitemplate	BLAN-2-1-No	D02	Desmodium sp.	4/23/25	3.94	189.12	Quarter	BLAN-2	ethanol	nodule	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	nodule	Desmodium	Desmodieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.653	82.347	0	859
BLAN-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	BLAN-2-1-Rh	D02	Desmodium sp.	4/23/25	0	0	Quarter	BLAN-2	ethanol	rhizosphere	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	rhizosphere	Desmodium	Desmodieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.847	79.1374	0	1016
SCBI-2-1-Rh|nifH|consensus50|pass_mixed_possible_multitemplate	SCBI-2-1-Rh	D02	Lespedeza cuneata	4/23/25	0	0	Quarter	SCBI-2	ethanol	rhizosphere	Fabaceae	SCBI	Lespedeza	Desmodieae	SCBI-006	Warren	VA	no	38.897638	-78.152008	NA	rhizosphere	Lespedeza	Desmodieae	no	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.636	71.6148	0	955
BLAN-2-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	BLAN-2-1-Ro	D02	Desmodium sp.	4/23/25	0.1405	6.744	Quarter	BLAN-2	ethanol	root	Fabaceae	BLAN	Desmodium	Desmodieae	BLAN_020	Clarke	VA	yes	39.101002	-77.980641	8/13/24	root	Desmodium	Desmodieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	88.78	82.2467	0	1081
CLBJ-1-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	CLBJ-1-1-Ro	D11	Vicia sativa	7/9/24	1.305	62.64	Quarter	CLBJ-1	dry	root	Fabaceae	CLBJ	Vicia	Fabeae	CLBJ_001_T	Wise	TX	no	33.23888	-97.34109	3/20/24	root	Vicia	Fabeae	no	Mesorhizobium	Mesorhizobium_sp._AaZ16	86.918	79.7392	0	1016
OSBS-104-1-Rh|nifH|consensus50|pass_single_dominant	OSBS-104-1-Rh	D03	Crotalaria maritima	2/26/25	0.1045	5.016	Quarter	OSBS-104	dry	rhizosphere	Fabaceae	OSBS	Crotalaria	Crotalarieae	OSBS_070	Putnam	Fl	yes	NA	NA	20241008	rhizosphere	Crotalaria	Crotalarieae	yes	Microvirga	Microvirga_sp._KLBC_81	88.847	79.1374	0	976
OSBS-14-3-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	OSBS-14-3-Ro	D03	Tephrosia virginiana	8/19/24	0.558	26.784	Quarter	OSBS-TEVI-14	dry	root	Fabaceae	OSBS	Tephrosia	Millettieae	OSBS_026	Putnam	FL	yes	NA	NA	20240521	root	Tephrosia	Millettieae	yes	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	89.56	79.7392	0	1061
DCFS-7-1-Ro|nifH|consensus50|pass_mixed_possible_multitemplate	DCFS-7-1-Ro	D09	Amorpha canescens	4/23/25	4.33	207.84	Quarter	DCFS-7	dry	root	Fabaceae	DCFS	Amorpha	Amorpheae	DCFS_067	Stutsman	ND	yes	47.16096	99.11051	6/20/24	root	Amorpha	Amorpheae	yes	Mesorhizobium	Mesorhizobium_sp._AaZ16	84.069	81.8455	0	957
