gene	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	mean_between_group_distance	within_between_ratio	interpretation
nifD	Mixed-IUPAC	closest_blast_genus	Azorhizobium	37	0.1038925963900901	0.25335072879453774	0.4100741958960176	strong close grouping
nifD	Mixed-IUPAC	closest_blast_genus	Methylobacterium	17	0.1718586506632353	0.2821939763485915	0.6090089267211712	moderate close grouping
nifD	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	23	0.21529507587747035	0.29586797339672954	0.7276727974500338	moderate close grouping
nifD	Mixed-IUPAC	site	SRER	54	0.059522140114465404	0.291096865778873	0.2044753726743332	strong close grouping
nifD	Mixed-IUPAC	site	JORN	12	0.09545203685909091	0.2705429586351814	0.3528165631832428	strong close grouping
nifD	Mixed-IUPAC	site	CPER	15	0.13937086027238094	0.30212036447947543	0.4613090564500795	strong close grouping
nifD	Mixed-IUPAC	state	Arizona	54	0.059522140114465404	0.291096865778873	0.2044753726743332	strong close grouping
nifD	Mixed-IUPAC	state	New Mexico	12	0.09545203685909091	0.2705429586351814	0.3528165631832428	strong close grouping
nifD	Mixed-IUPAC	state	ND	77	0.19607042019747092	0.2960795614546634	0.6622220704264783	moderate close grouping
nifH	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	253	0.1514306609880794	0.2200765520876733	0.6880817586044015	moderate close grouping
nifH	Mixed-IUPAC	closest_blast_genus	Neorhizobium	25	0.19235431579666665	0.2795512209846452	0.6880825457286485	moderate close grouping
nifH	Mixed-IUPAC	closest_blast_genus	Microvirga	291	0.19473783066400757	0.2194242277110178	0.8874946613483253	weak close grouping
nifH	Mixed-IUPAC	site	SRER	52	0.040214079816063356	0.2270964248372684	0.17707931705609084	strong close grouping
nifH	Mixed-IUPAC	site	JORN	12	0.0828294184060606	0.20879695059953043	0.39669841043285275	strong close grouping
nifH	Mixed-IUPAC	site	KONA	9	0.08449883472222218	0.19100339453964105	0.44239441359606413	strong close grouping
nifH	Mixed-IUPAC	state	Arizona	52	0.040214079816063356	0.2270964248372684	0.17707931705609084	strong close grouping
