threshold	min_percent_covered	min_mean_depth	gene	sample_group	rows	unique_samples	targets_tested	good_rows	samples_with_at_least_one_good_target	good_sample_fraction	median_percent_covered	median_mean_depth	mean_percent_covered	mean_mean_depth	max_mean_depth
pct80_depth10	80.0	10.0	nifA	MC	22	2	11	1	1	0.5000	10.6687	9.7674	20.5081	31.2070	250.7290
pct80_depth10	80.0	10.0	nifA	No	10472	952	11	375	321	0.3372	9.4183	2.9782	21.6708	229.4770	7946.8977
pct80_depth10	80.0	10.0	nifA	Rh	10879	989	11	242	205	0.2073	12.6897	6.5415	20.6222	54.3643	7921.0286
pct80_depth10	80.0	10.0	nifA	Ro	10604	964	11	213	193	0.2002	9.4379	1.6687	19.0031	31.0046	7920.2478
pct80_depth10	80.0	10.0	nifB	MC	26	2	13	4	2	1.0000	2.0506	0.2431	25.2592	4.4034	40.3172
pct80_depth10	80.0	10.0	nifB	No	12376	952	13	1524	846	0.8887	10.2908	1.4244	28.8778	371.6051	7946.4853
pct80_depth10	80.0	10.0	nifB	Rh	12857	989	13	1090	701	0.7088	9.6402	1.2240	26.0119	93.4768	7877.9566
pct80_depth10	80.0	10.0	nifB	Ro	12532	964	13	1014	664	0.6888	7.1556	0.4620	24.8138	55.1953	7939.6212
pct80_depth10	80.0	10.0	nifD	MC	26	2	13	5	2	1.0000	8.2729	0.4255	31.6939	7.3540	70.4223
pct80_depth10	80.0	10.0	nifD	No	12376	952	13	2685	934	0.9811	20.9699	3.7772	38.4140	533.9368	7950.2902
pct80_depth10	80.0	10.0	nifD	Rh	12857	989	13	2218	940	0.9505	14.8921	1.6387	34.0013	192.9998	7936.2467
pct80_depth10	80.0	10.0	nifD	Ro	12532	964	13	2058	904	0.9378	12.4572	0.7848	33.0945	104.3320	7947.2109
pct80_depth10	80.0	10.0	nifE	MC	26	2	13	4	2	1.0000	2.0402	0.1174	24.7088	4.3644	38.9292
pct80_depth10	80.0	10.0	nifE	No	12376	952	13	1606	870	0.9139	7.5857	1.2417	28.2291	370.9881	7946.3461
pct80_depth10	80.0	10.0	nifE	Rh	12857	989	13	1220	731	0.7391	7.1764	0.8437	25.5142	79.9809	7927.1878
pct80_depth10	80.0	10.0	nifE	Ro	12532	964	13	1048	681	0.7064	4.4493	0.3084	24.2450	51.6305	7944.8322
pct80_depth10	80.0	10.0	nifH	MC	28	2	14	5	2	1.0000	30.1607	0.9652	38.2940	8.2533	79.0961
pct80_depth10	80.0	10.0	nifH	No	13328	952	14	3561	939	0.9863	35.3171	4.9036	44.8389	616.0055	7948.4398
pct80_depth10	80.0	10.0	nifH	Rh	13846	989	14	3030	928	0.9383	26.8456	2.6280	40.5911	242.5922	7947.2222
pct80_depth10	80.0	10.0	nifH	Ro	13496	964	14	2673	894	0.9274	23.9479	1.3492	39.1246	123.6274	7942.1458
pct80_depth10	80.0	10.0	nifJ	MC	4	2	2	2	2	1.0000	55.0793	6.3165	52.1995	7.5375	17.5170
pct80_depth10	80.0	10.0	nifJ	No	1904	952	2	243	227	0.2384	18.7251	3.0508	35.4959	548.3120	7917.4802
pct80_depth10	80.0	10.0	nifJ	Rh	1978	989	2	199	199	0.2012	25.0427	13.2819	34.3174	62.8852	7493.3092
