output_type	file	exists
table	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/tables/01_gene_categories_for_report.tsv	TRUE
table	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/tables/02_gene_recovery_by_metadata_category_pct80_depth10.tsv	TRUE
table	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/tables/03_tree_reliability_summary_for_report.tsv	TRUE
table	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/tables/04_blast_closest_genus_by_gene_sample_type.tsv	TRUE
table	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/tables/05_metadata_gene_recovery_association_screen.tsv	TRUE
table	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/tables/06_report_interpretation_notes.tsv	TRUE
figure	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/figures/01_gene_recovery_percent_by_sample_type.png	TRUE
figure	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/figures/02_gene_recovery_heatmap_host_geography.png	TRUE
figure	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/figures/03_tree_input_size_and_convergence.png	TRUE
figure	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/figures/04_strict_blast_genus_composition_by_sample_type.png	TRUE
figure	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/figures/05_iupac_blast_genus_composition_by_sample_type.png	TRUE
figure	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/metadata_tree_comparison/figures/06_gene_recovery_metadata_association_screen.png	TRUE
