sample_id	best_reference_id	best_reference_taxon	best_reference_genus	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore
BLAN-4-2-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	98.156	1844	52.2676	0.0	3251.0
BONA-1-1-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	92.694	1054	29.8753	0.0	1550.0
BONA-10-2-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.621	1845	52.2959	0.0	3369.0
BONA-10-2-Rh|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-10-2-Ro|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	100.000	750	21.2585	0.0	1386.0
BONA-10-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-10-Rh|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	98.643	1842	52.2109	0.0	3299.0
BONA-10-Ro|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.843	636	18.0272	0.0	1170.0
BONA-11-1-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-11-2-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	95.716	817	23.1576	0.0	1351.0
BONA-12-1-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-12-2-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-12-2-Rh|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-12-2-Ro|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1845	52.2959	0.0	3374.0
BONA-13-1-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-13-2-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-13-3-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-14-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.675	1846	52.3243	0.0	3376.0
BONA-14-Ro|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	97.662	1839	52.1259	0.0	3212.0
BONA-2-Rh|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.566	1843	52.2392	0.0	3362.0
BONA-2-Ro|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	98.537	1845	52.2959	0.0	3290.0
BONA-4-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.621	1846	52.3243	0.0	3371.0
BONA-5-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.567	1846	52.3243	0.0	3365.0
BONA-8-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.620	1843	52.2392	0.0	3365.0
BONA-8-Ro|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.133	1845	52.2959	0.0	3334.0
BONA-9-No|nifJ|consensus50|strict_single_dominant	nifJ|Candidatus_Frankia_alpina|THJ69601.1	Candidatus_Frankia_alpina	Candidatus	99.620	1843	52.2392	0.0	3365.0
